naics_code,industry_name,data_source,scrape_date,endpoint,Province/territory,Employers,Non-employers / Indeterminate,Employment size category (number of employees),Wholeindustry(reliability),Bottomquartile(25%),Lowermiddle(25%),Uppermiddle(25%),Topquartile(25%),Percentage ofbusinessesreporting
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,British Columbia,23069.0,30012.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Manitoba,4698.0,6596.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,New Brunswick,3105.0,2652.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Newfoundland and Labrador,1813.0,1720.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Nova Scotia,3318.0,4807.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Northwest Territories,100.0,122.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Nunavut,94.0,52.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Ontario,52283.0,75657.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Prince Edward Island,519.0,525.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Quebec,29024.0,48176.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Saskatchewan,4020.0,5085.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Yukon,164.0,216.0,,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Alberta,,,10041.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,British Columbia,,,13509.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Manitoba,,,2304.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,New Brunswick,,,1621.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Newfoundland and Labrador,,,1070.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Nova Scotia,,,1818.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Northwest Territories,,,18.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Nunavut,,,42.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Ontario,,,30237.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Prince Edward Island,,,226.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Quebec,,,16443.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Saskatchewan,,,2073.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Yukon,,,79.0,,,,,,
62,Health care and social assistance,businesses,2025-09-05T09:24:57.075352,businesses,Percent distribution %,,,56.9,,,,,,
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total revenue,100.0,100.0,100.0,100.0,100.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Sales of goods and services,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,All other revenues,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Cost of sales (direct expenses),7.1,14.0,3.9,0.9,0.1
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Wages and benefits,2.6,5.4,1.1,0.1,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Opening Inventory,0.1,0.2,0.1,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Closing inventory,0.1,0.2,0.1,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Operating expenses (indirect expenses),54.5,78.8,54.3,31.4,10.8
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Labour and commissions,29.2,44.5,29.9,13.0,1.6
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Amortization and depletion,2.0,3.2,1.7,0.9,0.4
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Repairs and maintenance,0.8,1.4,0.6,0.3,0.1
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Utilities and telephone/telecommunication,1.1,1.6,1.0,0.8,0.5
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Rent,4.7,6.5,4.4,3.5,1.4
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Interest and bank charges,0.9,1.5,0.6,0.3,0.1
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Professional and business fees,3.8,5.3,3.6,2.4,1.4
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Advertising and promotion,1.0,1.4,1.0,0.7,0.3
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Insurance,1.3,1.4,1.5,1.3,0.6
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Other expenses,9.7,11.8,9.9,8.2,4.6
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total expenses,61.5,92.8,58.1,32.3,11.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Net profit/loss,38.5,7.2,41.9,67.7,89.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total assets,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total current assets,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Accounts receivable,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Closing inventory,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Other current assets,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Net tangible and intangible assets,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,All other assets and adjustments,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total liabilities,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total current liabilities,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Current bank loans,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Other current liabilities,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Long term liabilities,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total equity,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Current ratio,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Debt to equity ratio,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Interest coverage ratio,45.5,5.7,69.4,237.5,729.6
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Debt ratio,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Revenue to equity ratio,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Revenue to closing inventory ratio,0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Collection period for accounts receivable (days),0.0,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total revenue,395.2,720.2,457.2,266.0,226.6
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total expenses,222.6,623.9,265.8,86.0,24.8
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Net profit,172.6,96.2,191.4,180.0,201.8
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total revenue,516.8,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Total expenses,597.5,0.0,0.0,0.0,0.0
62,Health care and social assistance,performance,2025-09-05T09:24:57.075352,performance,,,,,Net loss,-80.6,0.0,0.0,0.0,0.0
71,"Arts, entertainment and recreation",businesses,2025-09-05T09:25:03.803388,businesses,British Columbia,3191.0,10011.0,,,,,,,
